# overall
head,n,rmse,mae,bias,r2
B,5454,0.9277918751485101,0.7119674660799413,-0.14239709900990097,0.37206558276063884
F,534,1.2074562991375275,0.9676853586142322,-0.5342830005617979,-0.12188731100725425

# by_target_B
head,n,rmse,target_chembl_id
B,928,0.8033572574261094,"('CHEMBL238',)"
B,918,0.8263278437765466,"('CHEMBL222',)"
B,864,0.8785282811473325,"('CHEMBL217',)"
B,578,0.9140836635780907,"('CHEMBL214',)"
B,751,0.9476004588333405,"('CHEMBL224',)"
B,1415,1.078180088244707,"('CHEMBL228',)"

# by_target_F
head,n,rmse,target_chembl_id
F,8,0.8536283060049137,"('CHEMBL222',)"
F,67,0.9759189175846433,"('CHEMBL214',)"
F,285,1.0331530458923777,"('CHEMBL224',)"
F,148,1.4526512986125177,"('CHEMBL217',)"
F,13,1.8305747903940541,"('CHEMBL238',)"
F,13,1.9379157291238516,"('CHEMBL228',)"
