smiles,target_chembl_id,standard_type,target_name,B,F,y_B,y_F,m_B,m_F,split,yB_true,mB,yF_true,mF,yB_pred,yF_pred,resid,abs_err
C=C(C)c1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,CHEMBL228,IC50,Sodium-dependent serotonin transporter,9.8,,9.8,0.0,1.0,0.0,test,9.8,1.0,0.0,0.0,5.5761604,4.712054,4.223839600000001,4.223839600000001
COCOc1ccc2c(c1OCOC)-c1cccc3c1[C@@H](C2)N(C)CC3,CHEMBL217,EC50,D(2) dopamine receptor,9.51,5.08,9.51,5.08,1.0,1.0,test,9.51,1.0,5.08,1.0,5.5827446,5.764524,3.9272554,3.9272554
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,CHEMBL238,Ki,Sodium-dependent dopamine transporter,8.84,,8.84,0.0,1.0,0.0,test,8.84,1.0,0.0,0.0,4.932029,4.2108436,3.907971,3.907971
CN(C)Cc1cc(OCCF)ccc1Sc1ccc(Cl)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.52,,10.52,0.0,1.0,0.0,test,10.52,1.0,0.0,0.0,6.629007,5.6020603,3.890993,3.890993
COC(=O)C1C2CCC(CC1c1ccc(C=C(Br)Br)cc1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.1,,10.1,0.0,1.0,0.0,test,10.1,1.0,0.0,0.0,6.369747,5.2844,3.7302529999999994,3.7302529999999994
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,CHEMBL228,AC50,Sodium-dependent serotonin transporter,8.4,,8.4,0.0,1.0,0.0,test,8.4,1.0,0.0,0.0,4.690866,3.5315006,3.7091340000000006,3.7091340000000006
NCCc1c[nH]c2ccc(OCCOCCOCCS)cc12,CHEMBL228,IC50,Sodium-dependent serotonin transporter,4.0,,4.0,0.0,1.0,0.0,test,4.0,1.0,0.0,0.0,7.6800623,7.4307556,-3.6800623000000003,3.6800623000000003
NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,CHEMBL217,IC50,D(2) dopamine receptor,8.68,,8.68,0.0,1.0,0.0,test,8.68,1.0,0.0,0.0,5.0997005,5.1234713,3.5802994999999997,3.5802994999999997
CN(C)Cc1cc(OCCF)ccc1Sc1ccc(F)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.0,,10.0,0.0,1.0,0.0,test,10.0,1.0,0.0,0.0,6.489137,5.4908323,3.5108629999999996,3.5108629999999996
COc1ccc(CCc2ccccc2OC[C@@H](CN(C)C)OC(=O)CCC(=O)O)cc1,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,8.4,,8.4,0.0,1.0,0.0,test,8.4,1.0,0.0,0.0,4.915227,4.47806,3.4847730000000006,3.4847730000000006
CN(C)Cc1cc(OCCF)ccc1Sc1ccc(Br)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.3,,10.3,0.0,1.0,0.0,test,10.3,1.0,0.0,0.0,6.889141,5.640579,3.4108590000000003,3.4108590000000003
CCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)S(=O)(=O)C(C)CO,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,6.53,,6.53,0.0,1.0,0.0,test,6.53,1.0,0.0,0.0,9.92306,8.798626,-3.3930599999999993,3.3930599999999993
COc1ccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)cc1,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,8.3,,8.3,0.0,1.0,0.0,test,8.3,1.0,0.0,0.0,4.915227,4.47806,3.384773000000001,3.384773000000001
COc1ccccc1N1CCN(CCCNC(=O)OC(C)(C)C)CC1,CHEMBL217,EC50,D(2) dopamine receptor,9.41,,9.41,0.0,1.0,0.0,test,9.41,1.0,0.0,0.0,6.1235137,7.175937,3.2864863,3.2864863
